adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],1369082,fr,One Last Night of You,"When his car breaks down during a fateful road trip, Evan, a suicidal young man, meets Léo, a mysterious boy who offers to drive him to his destination. Along the way, romantic tension ensues as the pair reckon with traumas of the past, conflicts of the present and the potential of the future – together or apart. Evan soon realizes that he may have found something – or someone – worth living for.",22.52,/1N6njaYFrq4y6coTB1GeHTmeYBn.jpg,2024-11-19,One Last Night of You,False,0.0,0
False,/gKvbO1OcIHrSW9XmABjgxHgqBF3.jpg,[18],177945,ja,そして父になる,Ryota Nonomiya is a successful businessman driven by money. He learns that his biological son was switched with another child after birth. He must make a life-changing decision and choose his true son or the boy he raised as his own.,22.478,/fzSDVHdDL6Oqv7NWAUikoRxSHmp.jpg,2013-09-24,"Like Father, Like Son",False,7.643,689
False,/4XSVWnHHFl5qwWtvstKFsjJro9i.jpg,"[28, 27, 53]",970450,en,Werewolves,Two scientists try to stop a mutation that turns people into werewolves after being touched by a super-moon the year before. It does not work and those exposed to the moonlight turn into savage werewolves causing mayhem with the armed vigilantes in the streets and laying siege to one of the scientists family home.,22.476,/elKf8Y5yi6Rl6teKsrQg0GAwaQD.jpg,2024-12-05,Werewolves,False,0.0,0
False,/y6uJ11Q1O7k5cJlVuqUBkrQEdUn.jpg,"[16, 12, 35, 10751]",1154304,es,Buffalo Kids,"Mary and Tom are parentless Irish siblings who arrive in New York City via ocean liner in 1886 and quickly find themselves on a wild, cross-country journey aboard a transcontinental ""Orphan Train"" where they meet an extraordinary new friend who will change their lives forever.",22.474,/nRWiUth8Cr5bG9AQkDZHoAS25CW.jpg,2024-08-14,Buffalo Kids,False,6.6,7
False,/vNrXoT45xscHY6AN4IGf44vHxVJ.jpg,"[12, 14, 18]",14784,en,The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story about 5 mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality starts to blur as the tale advances.",22.357,/g3RKh7Gp2lDUnXQ0ZXq7xpdwA9e.jpg,2008-01-03,The Fall,False,7.6,1295
False,/aWcqE8wGN8Gv4VSPAGCqTFYy7aC.jpg,[35],965791,fr,Une année difficile,"Compulsive spenders Albert and Bruno are in debt up to their necks. While seeking help from community workers to get their lives back on track, they run into a group of young green activists. Lured by the free beer and snacks rather than by the ideals of eco-activists, Albert and Bruno find themselves joining the movement without much conviction.",22.31,/teTTgwreGDfroU1A6VJWqoUpJBt.jpg,2023-10-18,A Difficult Year,False,5.951,247
False,/r1Hk29DN96ewm6KZl9dBi6NcTxT.jpg,[35],1161108,fr,Le Deuxième acte,"Florence wants to introduce David, the man she’s madly in love with, to her father Guillaume. But David isn’t attracted to Florence and wants to throw her into the arms of his friend Willy. The four characters meet in a restaurant in the middle of nowhere.",22.273,/fGJoyloMr5V0TEksBHxmQ8VthcZ.jpg,2024-05-14,The Second Act,False,6.1,135
False,/zfTBwY465JJUqrd7JONgIe4SPcj.jpg,"[10770, 18, 80]",1171006,de,Sie sagt. Er sagt.,"In a criminal trial at the Berlin district court, in which the accusation of rape is being heard, it is one statement against the other - a seemingly insoluble dilemma, both legally and humanly, that has enormous explosive power. Because beyond the professional and private future of two people, it is about nothing less than the values and prejudices that define us as a society. It is a case of high public attention: the well-known TV presenter Katharina Schlüter and the industrialist Christian Thiede have had a secret affair that has lasted for years, and now they are sitting opposite each other in the courtroom as hostile parties. On the witness stand, Schlüter describes how what was initially consensual sex in Thiede's apartment turned into rape. But are circumstantial evidence sufficient? Experts and witnesses are questioned, and an unexpected turn of events doesn't make it any easier for the court to decide on credibility and truth.",22.174,/z8iCGXfxm6ANyOpzVp9bcCaDtfI.jpg,2024-10-17,Sie sagt. Er sagt.,False,6.8,4
False,/q0AQDPlUaE9OCr9JtuYk6trdwrr.jpg,"[27, 53]",913673,en,Nefarious,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.",22.172,/xwjWUAajQJPj5aik1tounPguZbz.jpg,2023-04-14,Nefarious,False,6.8,289
False,/7c3YfTlbEqOFpQFRcPbyvt4avV.jpg,"[878, 27, 35, 28]",921384,en,Alien Country,"Reeling from the news of an unexpected pregnancy, Jimmy and Everly unknowingly release an alien invasion in their small town and learn to work together in order to save each other, their town and evidently, the entire galaxy.",22.021,/qELcpKCX0HMszrWyq25GS2DTK3o.jpg,2024-10-25,Alien Country,False,5.3,12
False,/5lhkwyuxSyElspMjAVZPUFg20b3.jpg,[27],1058078,sv,Karusell,"Park manager Fiona is tasked with taking care of some former friends who won an exclusive private sneak preview of Halloween at Liseberg – a whole night, all alone in the empty park. But cotton candy, lovely rides and lots of laughter soon turn into something completely different, as they realize they are not alone in the park. And the night of dreams quickly turns into a true nightmare.",22.02,/u5KHv3BlYkcdonslD6s97ACGxpB.jpg,2023-10-20,Carousel,False,6.01,52
False,/neaOTXK4THHWkKjsyrtPdb2GvxM.jpg,"[27, 35, 53]",1006724,zh,鬼才之道,Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,21.946,/hSUmo34dquZaicoQ79R97NjwAQ4.jpg,2024-08-07,Dead Talents Society,False,7.2,8
False,/buZWVPpYRS2Xvr9DSxpRIUcYQtf.jpg,[18],1337991,de,Conversation with a stranger,,21.909,,2024-11-19,Conversation with a stranger,False,0.0,0
False,/ddiw4IcAtPIY7unuCZoDXYJDH2X.jpg,"[28, 53, 9648]",1156255,en,The Engineer,"As Israel is rocked by a series of terrorist bombings, a US senator's daughter is killed in one bloody explosion. Now, ex-Mossad agent Etan must lead an elite, covert team of agents and mercenaries to find the man responsible—the elusive “Engineer.” Can they find and destroy the madman before more innocent lives are lost?",21.895,/2TZmtTVFqZCbUHZ6mzNkVdO7SF9.jpg,2023-08-18,The Engineer,False,6.2,71
False,/gh7cA6zrzVycYg7Scl0w7Wv8m4r.jpg,[35],973912,fr,Cocorico,"The Bouvier-Sauvages, a large aristocratic family, meet the much more modest Martin family when their children's wedding is announced. For the occasion, the future bride and groom offer their parents DNA tests, which will reveal their true origins. The results are totally unexpected and will make the effect of a bomb.",21.854,/uJCxYoJ45N7NId1JvnzrsScxesY.jpg,2024-02-07,Cocorico,False,5.5,192
False,/3SHwE8QRSDh9HcMNxXfB9RFWp1J.jpg,"[36, 18]",1219576,de,Führer und Verführer,"As Minister of Propaganda, Joseph Goebbels creates films and pictures used to prepare the Germans for Total War and the Holocaust. When the war is lost, he conceives his last staging, the most radical propaganda act still possible to him.",21.82,/iK5rrNUSNUMOWyPUQAHo6WsjOho.jpg,2024-07-11,Goebbels and the Führer,False,6.6,13
False,/5eGvv8fNk7tehTU5diwFY5cZRJM.jpg,"[16, 878, 28, 9648]",586810,fr,Mars Express,"In 2200, private detective Aline Ruby and her android partner Carlos Rivera are hired by a wealthy businessman to track down a notorious hacker. On Mars, they descend deep into the underbelly of the planet's capital city where they uncover a darker story of brain farms, corruption, and a missing girl who holds a secret about the robots that threatens to change the face of the universe.",21.816,/g8rUn0khoYB3G4gPPGTF1Xv9Olu.jpg,2023-11-22,Mars Express,False,7.591,287
False,/sJP1BRnZPMkjFGTmswqjJ6LBvVj.jpg,"[36, 18, 10402]",1063881,fr,Prodigieuses,"Claire and Jeanne are twin sisters, united by the same passion: the piano. Coached by their father like athletes, they join the prestigious Karlsruhe Conservatory. They are now competing to be soloists and training for a concert that will make or break their careers. But Claire and then Jeanne discover they are suffering from a serious illness and are slowly losing the use of their hands. With the support of their family and their undying love of music, they will find a unique way to change their fate. An inspiring and moving tale, based on a true story.",21.776,/t1PilRUOaUGuHr8kO4hzU4dFPXu.jpg,2024-11-20,Prodigies,False,0.0,0
False,/kpE6PYU4EMIojh9onZmV0sSTQbX.jpg,"[28, 16, 12, 35]",374205,ja,ワンピース　フィルム GOLD,"The glittering Gran Tesoro, a city of entertainment beyond the laws of the government, is a sanctuary for the world’s most infamous pirates, Marines, and filthy rich millionaires. Drawn by dreams of hitting the jackpot, Captain Luffy and his crew sail straight for the gold. But behind the gilded curtains lies a powerful king whose deep pockets and deeper ambitions spell disaster for the Straw Hats and the New World alike.",21.546,/9PgiOFTLZXP7emlwcIt0yRasJ9h.jpg,2016-07-23,One Piece Film: GOLD,False,7.2,479
False,/xIrTIAS7UAFBv8NeGHpoEEvuEGy.jpg,"[18, 10402]",1038263,en,Maria,"1977: Maria Callas, once the world's greatest opera diva, lives in seclusion in Paris with her staff and her two poodles. Her health is getting worse and worse. Then she receives a request to go on tour again. Will La Callas sing again? And if so, for whom?",21.464,/6xHKEYfrO1FpVZJJnKy5BhfWVCK.jpg,2024-11-27,Maria,False,0.0,0
False,/5pZEn16rAMc1geDMxHB5EbACpKn.jpg,"[18, 9648, 10749]",110,fr,Trois couleurs : Rouge,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls.",21.35,/JHmsBiX1tjCKqAul1lzC20WcAW.jpg,1994-05-12,Three Colors: Red,False,7.9,1370
False,/aOebav1Zi5jBr0d5FXuDLKy8J2y.jpg,"[10749, 18]",1007723,en,She Taught Love,"Ever since getting off a prestigious cable television series, Frank Cooper has been coasting through life distracting himself with women, booze and blow, while auditioning to play stereotypical gang members and drug dealers. But the minute he meets Mali Waters, a sports agent living for the present, his whole world changes.",21.249,/hTcsoaYkQnOj6YSPDpeLv9kpaPm.jpg,2024-09-27,She Taught Love,False,4.6,7
False,/jXdPAJt4NeHTJy1nTzCATahQT5p.jpg,"[14, 27]",538858,hi,तुम्बाड,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",21.202,/z1xOCxw780WFJC5uCTMfCkQ4Agi.jpg,2018-10-12,Tumbbad,False,7.51,248
False,/r4Xn4eWOyxye8m3dR80I8TPhfE5.jpg,[18],1326059,es,Pimpinero: Sangre y gasolina,"When Juan, a young gasoline smuggler, is forced to work for a mysterious organization in the desert bordering Colombia and Venezuela, his girlfriend Diana embarks on a journey to uncover the secrets that inhabit this no-man’s-land.",20.894,/ouCgGNEC7zOIreWIt3ivgzI8XGf.jpg,2024-10-10,Pimpinero: Blood and Oil,False,0.0,0
False,/H41DJiw7Q8xn6bWC75eyaavp9L.jpg,"[12, 18, 878]",943134,fr,Le Règne animal,"In a world hit by a wave of mutations transforming humans into animals, François does everything he can to save his wife. As some of the creatures disappear into a nearby forest, he and their son Émile embark on a quest that will change their lives forever.",20.833,/44H0Lpg2TbE9b0rVRDsCMcvcFsQ.jpg,2023-10-04,The Animal Kingdom,False,7.0,691
False,/v6sq8i4CWlucGMUrz1pXgiCntOt.jpg,"[35, 10751]",1197662,en,A Sudden Case of Christmas,"An American couple bring their 10 year old daughter, Claire, to her grandfather Lawrence's hotel in The Dolomites, Italy. They usually come for Christmas but this year it’s August. The fact is they are breaking up, and once Claire realizes there’s not going to be a family Christmas this year, she insists on everyone making it out for Christmas in August. Claire, in collusion with her grandfather, plan activities that are designed to re-unite her parents.",20.756,/9ykjCB9yKQolzEMIVH6L16wQo27.jpg,2024-11-08,A Sudden Case of Christmas,False,5.8,6
False,/e0SlSnLQzIhdcr86akVJinA1Jau.jpg,"[16, 10751, 35, 12]",51162,en,Winnie the Pooh,"During an ordinary day in Hundred Acre Wood, Winnie the Pooh sets out to find some honey. Misinterpreting a note from Christopher Robin, Owl convinces Pooh, Tigger, Rabbit, Piglet, Kanga, Roo, and Eeyore that their young friend has been captured by a creature named ""Backson"" and they set out to rescue him.",20.718,/wMZU69sPEP8dSNU0nMWVt7b54EQ.jpg,2011-04-06,Winnie the Pooh,False,6.9,862
False,/zxNAQeptsUIY53zdtvqqro0CgyB.jpg,[18],1025491,en,Freud's Last Session,"On the eve of the Second World War, two of the greatest minds of the twentieth century, C.S. Lewis and Sigmund Freud converge for their own personal battle over the existence of God. The film interweaves the lives of Freud and Lewis, past, present, and through fantasy, bursting from the confines of Freud’s study on a dynamic journey.",20.672,/mp7IBxFuvNZSVOOGESybvaPxd7y.jpg,2023-12-22,Freud's Last Session,False,6.5,83
False,/mc2Rde6GIEKaLKoC1BEM0tyjXVp.jpg,[18],1385524,tl,Pukpok,"Jennilyn, a hardworking secretary at a construction site hides a lot of dark secrets. When she seeks the help of the newest employee, her plans start to collapse.",20.664,/mwCZjzhnVRW0B33LmREuK6zhwIv.jpg,2024-11-22,Pukpok,False,0.0,0
False,/auIy9KoshQPtL3cniUXJa0YeV7d.jpg,"[35, 10751]",1385485,en,The Boy & the Octopus,A young boy encounters a curious octopus while snorkeling on a seaside vacation. The persistent mollusk attaches itself to the boy’s head and becomes his constant companion.,20.664,/4PxZT8I9M92DGpkqoj9IqjK0Rhy.jpg,2024-11-12,The Boy & the Octopus,False,7.2,5
False,/8iQVVgQceIPW7O7KiPSOHvt4i8i.jpg,"[28, 35]",1385362,zh,这个大侠有点怂,"Wan Xiaohua, a cautious wanderer, makes a living by targeting only the weakest of criminals, steering clear of any dangerous foes and leaving tougher battles to braver heroes. But his life takes a thrilling turn when he meets Su Moxian, a fearless heroine who draws him into a journey fraught with danger and unexpected challenges, pushing him to confront his fears—and maybe discover his own bravery.",20.664,/4cxERvf2tH6ocmfVO7ZkuFZBtGk.jpg,2024-11-19,This Hero is a Bit Timid,False,0.0,0
False,/et9G1ftzPo3KDolLEnOEbxA44oP.jpg,"[28, 80]",9462,cn,猛龍過江,"Tang Lung arrives in Rome to help his cousins in the restaurant business. They are being pressured to sell their property to the syndicate, who will stop at nothing to get what they want. When Tang arrives he poses a new threat to the syndicate, and they are unable to defeat him. The syndicate boss hires the best Japanese and European martial artists to fight Tang, but he easily finishes them off.",20.639,/m7AIITQ624sfldI4SsX4htXPH1f.jpg,1972-12-30,The Way of the Dragon,False,7.4,1121
False,/gAHqYmtBrocZBwHVbxRzUvC8zDR.jpg,"[14, 12, 16, 28]",14282,ja,獣兵衛忍風帖,"Jubei is a masterless ninja who travels the land alone, lending his services to those with gold—or a worthy cause. His fearsome abilities have served him well, but a plot to overthrow the government threatens to end his wandering ways—and possibly his life.",20.621,/qzZEnaXwv4wss2QalEo4Uf9BAwh.jpg,1993-06-05,Ninja Scroll,False,7.7,624
False,/86vpf0kTFk0epGRJpyemNNQbWmS.jpg,[27],1016848,en,The Front Room,"Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.",20.511,/p0qqnfmhmJYYz73jK7UOwP3ZUgn.jpg,2024-09-05,The Front Room,False,4.9,36
False,/hoQ7adfFOiLs4DXT7rn0CnB9qTl.jpg,"[36, 10402]",1002155,fr,Monsieur Aznavour,"From his poor childhood to his rise to fame, from his triumphs to his failures, from Paris to New York, discover the exceptional journey of an artist. Intimate, intense, fragile and indestructible, devoted to his art until the very end, here is one of the most immortal singers of all time: MONSIEUR AZNAVOUR.",20.501,/gSY5SbkzVvNISl2TJKotldTx5uk.jpg,2024-10-23,Monsieur Aznavour,False,7.4,139
False,/1UzAEzVO34cBAQ5Hk3r7QoqK42P.jpg,"[35, 9648, 80]",974250,en,Greedy People,"The eclectic residents of a small, picturesque island town must navigate a sensational murder and the discovery of a million dollars, leading to a series of increasingly bad decisions which upend the once-peaceful community.",20.278,/aIUZiciO0nMh8MrhmsTaMWZvEWK.jpg,2024-08-23,Greedy People,False,5.9,76
False,/dHlLIX5ucVHoaEcsqwctd5HuJuT.jpg,"[28, 53]",797223,hi,युध्रा,"Yudhra, who is struggling with anger issues, is assigned an undercover mission to bring down a powerful drug syndicate headed by Firoz and his son Shafiq. Yudhra accepts the responsibility as he wants to exact revenge against Firoz for his parents's death.",20.233,/ay4g3ejfcY8dTiu0hElERYIaVZt.jpg,2024-09-20,Yudhra,False,4.0,3
False,/ebmY8j6bfTsxUdhVtTaoNITch6u.jpg,"[14, 18]",831395,en,Tuesday,A mother and her teenage daughter must confront Death when it arrives in the form of an astonishing talking bird.,20.187,/zrd6blans3SqghHSxPAl7tqnaOf.jpg,2024-06-07,Tuesday,False,6.937,63
False,/hU1VSdI4E2elc5Sklf3NmfQPJXw.jpg,[18],1235499,en,The Last Showgirl,"When the glittering Las Vegas revue she has headlined for decades announces it will soon close, a glamorous showgirl must reconcile with the decisions she’s made and the community she has built as she plans her next act.",20.138,/s8J3xS78JzPUfVu2DG27BlBGHlV.jpg,2024-12-13,The Last Showgirl,False,0.0,0
False,/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg,"[35, 10752]",914,en,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,20.124,/x0L9EQuQRsIrnov5aiHXrRegaGI.jpg,1940-10-15,The Great Dictator,False,8.3,3357
False,/7u5gxjMdcm9Fke2XQniKPqsWB6B.jpg,"[16, 18, 10751, 36]",715385,fr,Interdit aux chiens et aux Italiens,"Early 20th century, in the Ughetto family's home village, Ughettera, Northern Italy. Life in the region had become very difficult and the Ughettos dreamed of a better life abroad. Legend has it that Luigi Ughetto crossed the Alps and started a new life in France, thus changing his beloved family's destiny forever. His grandson retraces their story.",20.094,/pa6NSAwI1WcJS6J5hQlEDoPru53.jpg,2023-01-25,No Dogs or Italians Allowed,False,7.487,118
False,/cv9dDRz0obr25PSooGzG5yhaJrf.jpg,[53],931628,en,A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event. While he immerses himself into his work, his rebellious teenage daughter, Mazzy, gets involved with a mysterious local boy, who introduces her to the city’s underground party scene. As these two worlds head towards an intersection, Mazzy finds herself in great danger and Ben will need to race against the clock to save her.",20.038,/ihXINKQfzdaVKvZwZqmchy20uVD.jpg,2024-06-28,A Sacrifice,False,5.4,24
False,/69dIMxj3aHtp8ABQsPYz2Ht0F6p.jpg,"[35, 18]",623135,ko,싱크홀,A working class family move into a new condo purchased after 11 years of hard work. They throw a housewarming party to show his co-workers when overnight a heavy downpour creates an extremely deep sinkhole that engulfs the entire building.,19.95,/alBxLvZ5LkDRJPw4TX1PgkWLE8a.jpg,2021-08-11,Sinkhole,False,7.0,130
False,,"[99, 12]",1293308,en,Dakar Chronicles,,19.949,,2024-11-20,Dakar Chronicles,False,0.0,0
False,/vXjpwkXPirBmgdEpIknfN8ziDD.jpg,"[16, 12, 14, 35]",947938,ru,Мальчик-дельфин,"When a plane crashes at sea, dolphins rescue a little boy and raise him as family. He lives a carefree life beneath the waves until an evil monster seizes power over the underwater world. Banished to dry land, the boy is taken in by a kind-hearted captain. With his new companion's help, the boy embarks on a journey to solve the mystery of his true identity.",19.941,/5CKkTaMVLO2uA9OwHjLNxAoujMp.jpg,2022-04-07,Dolphin Boy,False,6.5,73
False,/qeskZtO8u3kJL2ttMnNAitA9SRl.jpg,"[18, 10749]",1160039,ko,미망,"After a chance meeting, a man and a woman stroll through Seoul’s changing streets.",19.9,/ktxgPmxykkKRfRdSnWVyMxm8Ze.jpg,2024-11-20,Mimang,False,0.0,0
False,/6JKXlPMVBBIaMcGET8wJn1GrNQb.jpg,"[99, 10402]",1379227,en,Larger than Life: Reign of the Boybands,"Highlights boy bands and their rise — and fall — to fame, from The Beatles to Jackson 5 to the Jonas Brothers and One Direction, as well as the K-pop group Seventeen.",19.886,/5qS0A5ORiF6t4Mcpaga1lwmTSa2.jpg,2024-11-12,Larger than Life: Reign of the Boybands,False,10.0,1
False,/aucOJvfpmoqDPYZsvdAGR8WwJMC.jpg,"[18, 36, 10752]",11948,ja,戦場のメリークリスマス,"Island of Java, 1942, during World War II. British Major Jack Celliers arrives at a Japanese prison camp, run by the strict Captain Yonoi. Colonel John Lawrence, who has a profound knowledge of Japanese culture, and Sergeant Hara, brutal and simpleton, will witness the struggle of wills between two men from very different backgrounds who are tragically destined to clash.",19.847,/qxlu6aiWxD16gkOUyGkcWDzrfwV.jpg,1983-05-28,"Merry Christmas, Mr. Lawrence",False,7.3,453
False,/p8o3o3oETlAZxfQf10T6vJG8eZq.jpg,"[99, 35]",1214506,en,Will & Harper,"When Will Ferrell's good friend Harper comes out as a trans woman, they take a road trip to bond and reintroduce Harper to the country as her true self.",19.828,/1xbYcoEb9gqezNnLgjWcZI5Hlsl.jpg,2024-09-12,Will & Harper,False,7.5,46
False,/mNDhNiL1J1VgwNc56UBONwEcLMO.jpg,"[18, 14]",1000844,fr,Les tempêtes,"Nacer, a 45 year old journalist, is observing the appearance of strange yellow sandstorms looming over Algiers and its surroundings. While covering the phenomenon for his newspaper, he starts witnessing more and more supernatural events, until his late wife Fajar returns to life. Faced with increasingly threatening storms, Samir has to face a dark past that haunts him.",19.79,/aoaStHDYBC6TJtrKoNHo8Nwa5vq.jpg,2024-11-20,Silent Storms,False,5.0,1
False,/aCv6smHpdIUvTlmxnUxSmmemaqY.jpg,[99],1153428,en,The Trust Fall: Julian Assange,"Examining  the meaning and significance of the insights that WikiLeaks shared with the world, the resulting behaviour of the governments involved, the extraordinary personal risk taken by Assange, and the wider fundamental issues around press freedom that affect all of us and our right to know.",19.708,/l0BzLX97ckc1hSeI59xyGbMur0V.jpg,2024-01-25,The Trust Fall: Julian Assange,False,0.0,0
False,,[10749],1336938,tl,Baliskat,Details here,19.7,/j8OLigEvJz6BwVP0tKSSp6tQu5h.jpg,2024-11-04,Baliskat,False,0.0,0
False,,"[16, 35]",1362565,en,Disventure Camp: Carnival of Chaos,"After the events of All-Stars, eighteen new contestants will be invited to an abandoned fairground, to compete for a grand prize. The contestants will be divided into teams and pitted against each other in challenges, with the losing team(s) required to vote someone out of the competition. The process will continue until one contestant emerges victorious and claims the grand prize.",19.531,/oeKMpRUJgb2G5iW1JdJFMdXej57.jpg,2024-11-20,Disventure Camp: Carnival of Chaos,False,0.0,0
False,/37LyKFPr7ksoXMea7MIWFa8Llaj.jpg,"[27, 53]",714669,en,Run Rabbit Run,"Sarah is a fertility doctor with a firm understanding of the cycle of life. When she is forced to make sense of the increasingly strange behavior of her young daughter Mia, she must challenge her own beliefs and confront a ghost from her past.",19.411,/cgetiYyTqJ4CMmPmvDw30nnYj1f.jpg,2024-07-18,Run Rabbit Run,False,5.5,14
False,,[],1353408,en,Conquering Skin Cancer,"Weaving together powerful interviews with survivors, experts, and well known celebrities, this advocates for upscaling skin cancer prevention efforts, equitable access to treatment, and champions innovative research and treatment approaches.",19.39,,2024-11-20,Conquering Skin Cancer,False,0.0,0
False,/gvCnzzk9QELPQNkR27p4W9uFFGV.jpg,"[16, 14, 10751]",164372,ru,Снежная королева,"The ice-cold Snow Queen wishes to turn the world into a frozen landscape, with no light, no joy, no happiness, and no free will. A young man, Kai, is rumored to be the son of a man who is the queen's only remaining threat. He is abducted and held captive in the queen's palace, and it's up to his sister, Gerda, to rescue him. Gerda journeys across an icy land, facing difficult obstacles and meeting wonderful new friends that help her in her quest to set Kai free, defeat the Snow Queen, and save the world from eternal frost.",19.373,/siQpJAT2IQjN218hxJXvrHePtNS.jpg,2012-10-11,The Snow Queen,False,5.8,166
False,/7RxhC2ntrglVl1nkKjAgNoO0XP.jpg,[18],998022,de,Das Lehrerzimmer,"When one of her students is suspected of theft, teacher Carla Nowak decides to get to the bottom of the matter. Caught between her ideals and the school system, the consequences of her actions threaten to break her.",19.325,/kWXA6PfQ0PpZpoCXoeBFRciRrUw.jpg,2023-05-04,The Teachers' Lounge,False,7.3,476
False,/8LcaeGZzXuPM2WtjXlwc0pzz2Na.jpg,"[18, 10749]",1369598,tl,Baligtaran,"Kat is a beautiful DJ who immediately catches the eye of pansexual woman Denise. But while Kat falls for Denise, she’s just one of the many partners Denise plays around with. Will Kat learn to be okay with their set-up or will Denise change her ways for Kat?",19.257,/cls7f70sZWtKnlKZazOdJE5Ny3y.jpg,2024-11-01,Baligtaran,False,4.0,2
False,/yFNZidMRI7dTr7dklBfo3I2yMsc.jpg,"[80, 53, 27, 9648]",36095,ja,キュア,A detective starts spiraling out of control when a wave of gruesome murders with seemingly similar bizarre circumstances is sweeping Tokyo.,19.224,/nLZ2AJFLtMoAAAD54mbT4exj1Wp.jpg,1997-12-27,Cure,False,7.5,525
False,/f5ynCAQ1MuDgwoVyjouTw6UgK1l.jpg,"[14, 878, 12]",902,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",19.145,/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,1995-05-17,The City of Lost Children,False,7.2,1083
False,/w2k4BxmSeetAaDWqE8e3NpJq0BK.jpg,"[28, 53, 80]",8374,en,The Boondock Saints,"Tired of the crime overrunning the streets of Boston, Irish Catholic twin brothers Conner and Murphy are inspired by their faith to cleanse their hometown of evil with their own brand of zealous vigilante justice. As they hunt down and kill one notorious gangster after another, they become controversial folk heroes in the community. But Paul Smecker, an eccentric FBI agent, is fast closing in on their blood-soaked trail.",19.116,/oCPwq7TVk8XZWDv1ErxyuR6Sn5n.jpg,1999-01-22,The Boondock Saints,False,7.252,2377
False,/uiXmFezM5Xg1RWEIRxX8gjIUiWW.jpg,"[10752, 18, 53, 9648]",2440,ko,공동경비구역 JSA,"Two North Korean soldiers are killed in the border area between North and South Korea, prompting an investigation by a neutral body. The sergeant is the shooter, but the lead investigator, a Swiss-Korean woman, receives differing accounts from the two sides.",19.076,/etoPOj0bXzfw0LBNslCxqO7MHuv.jpg,2000-09-09,Joint Security Area,False,7.841,695
False,/zjcADbZXZSlEbRqSbRZEfq332wC.jpg,"[18, 36, 53]",848439,en,Firebrand,"Katherine Parr, the sixth wife of King Henry VIII, is named regent while the tyrant battles abroad. When the king returns, increasingly ill and paranoid, Katherine finds herself fighting for her own survival.",19.007,/kXAc1LaxL64udWr9SOAHQwOBEG0.jpg,2024-03-27,Firebrand,False,6.4,68
False,/ovtTn2GkzOYsMvAVWl6Bt0jN4Ye.jpg,"[18, 14, 35]",837335,it,La chimera,"Just out of jail, crumpled English archaeologist Arthur reconnects with his wayward crew of tombaroli accomplices – a happy-go-lucky collective of itinerant grave-robbers who survive by looting Etruscan tombs and fencing the ancient treasures they dig up.",18.999,/lDaUha09CumsoSAt9MIRbS9WBNH.jpg,2023-10-12,La Chimera,False,7.364,371
False,/k8cmBaq6ggMynwfGm5PWU3Zs2Qt.jpg,"[16, 35, 878]",870360,en,The Day the Earth Blew Up: A Looney Tunes Movie,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are determined to save their town (and the world!)...that is if they don't drive each other crazy in the process.",18.989,/s2lB1kaYCdGSnZX5meQCiOR6HfX.jpg,2024-02-28,The Day the Earth Blew Up: A Looney Tunes Movie,False,7.7,10
False,/rYnOQ8epU4hZWq94aexKfQiY8Gx.jpg,[18],1384380,tl,Maryang Palad,"Lando has just started working on a ship, where he learns that women come aboard to provide them entertainment each time they’re docked. There, he discovers that the most sought-after girl with 'magical hands,' Marya, happens to be his first love.",18.968,/eBVP6LYgU0Jz3mofpfWYfGex9j.jpg,2024-11-15,Maryang Palad,False,0.0,0
False,/dHakZGLslgZF2A013UGS004qDL1.jpg,[18],1325221,tl,F-Buddies,"Jas learns that his boyfriend has been cheating on her. He breaks up with her because she’s boring. So to prove him wrong, and just to continue to be with him, she agrees to a fuck buddy set up with her ex.",18.963,/xVQERDLodGQcah34TFv6NN6VR9a.jpg,2024-09-03,F-Buddies,False,0.0,0
